stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
55340,55340,Deslauriers / No 605,45.524765,-73.666292,https://www.stm.info/fr/recherche#stq=55340,0,,1
55341,55341,Deslauriers / No 555,45.524607,-73.665930,https://www.stm.info/fr/recherche#stq=55341,0,,1
55342,55342,Saint-François / No 5400,45.488072,-73.734781,https://www.stm.info/fr/recherche#stq=55342,0,,2
55343,55343,Transcanadienne Sud / No 9300,45.490244,-73.743143,https://www.stm.info/fr/recherche#stq=55343,0,,1
55345,55345,McCaffrey / Gougeon,45.486840,-73.712549,https://www.stm.info/fr/recherche#stq=55345,0,,1
55346,55346,Montée de Liesse / No 750,45.483160,-73.713118,https://www.stm.info/fr/recherche#stq=55346,0,,1
55347,55347,McCaffrey / No 815,45.486942,-73.710149,https://www.stm.info/fr/recherche#stq=55347,0,,1
55348,55348,Halpern / No 2200,45.485812,-73.745606,https://www.stm.info/fr/recherche#stq=55348,0,,1
55349,55349,Thimens / Place Vertu,45.500604,-73.708236,https://www.stm.info/fr/recherche#stq=55349,0,,1
55350,55350,Côte-Vertu / No 4590,45.486962,-73.717039,https://www.stm.info/fr/recherche#stq=55350,0,,1
55351,55351,Montée de Liesse / No 1235,45.487259,-73.722867,https://www.stm.info/fr/recherche#stq=55351,0,,1
55352,55352,Cohen / Dobrin,45.495859,-73.733426,https://www.stm.info/fr/recherche#stq=55352,0,,2
55353,55353,Henri-Bourassa / No 5265,45.520787,-73.710363,https://www.stm.info/fr/recherche#stq=55353,0,,1
55355,55355,Côte-Vertu / No 3695,45.493919,-73.708525,https://www.stm.info/fr/recherche#stq=55355,0,,1
55356,55356,Côte-de-Liesse Nord / No 5415,45.500679,-73.670027,https://www.stm.info/fr/recherche#stq=55356,0,,1
55357,55357,Henri-Bourassa / Halpern,45.495026,-73.754849,https://www.stm.info/fr/recherche#stq=55357,0,,1
55358,55358,Henri-Bourassa / Halpern,45.494624,-73.754992,https://www.stm.info/fr/recherche#stq=55358,0,,1
55359,55359,Henri-Bourassa / De Miniac,45.496679,-73.752733,https://www.stm.info/fr/recherche#stq=55359,0,,1
55360,55360,De Miniac / Henri-Bourassa,45.496806,-73.753490,https://www.stm.info/fr/recherche#stq=55360,0,,1
55361,55361,Henri-Bourassa / De Miniac,45.496248,-73.752824,https://www.stm.info/fr/recherche#stq=55361,0,,1
55362,55362,Halpern / Bessette,45.493261,-73.752151,https://www.stm.info/fr/recherche#stq=55362,0,,1
55363,55363,Bessette / No 5825,45.493961,-73.751695,https://www.stm.info/fr/recherche#stq=55363,0,,2
55364,55364,Pitfield / Valiquette,45.501098,-73.753244,https://www.stm.info/fr/recherche#stq=55364,0,,1
55365,55365,Transcanadienne / Halpern,45.491038,-73.750166,https://www.stm.info/fr/recherche#stq=55365,0,,2
55366,55366,Transcanadienne / Halpern,45.490118,-73.753052,https://www.stm.info/fr/recherche#stq=55366,0,,2
55367,55367,De Miniac / Bessette,45.494830,-73.750043,https://www.stm.info/fr/recherche#stq=55367,0,,2
55368,55368,Henri-Bourassa / Valiquette,45.500034,-73.748150,https://www.stm.info/fr/recherche#stq=55368,0,,1
55369,55369,Henri-Bourassa / Valiquette,45.499623,-73.748209,https://www.stm.info/fr/recherche#stq=55369,0,,1
55370,55370,De Miniac / Sabourin,45.493572,-73.748151,https://www.stm.info/fr/recherche#stq=55370,0,,2
55371,55371,Brabant-Marineau / De Baene,45.500335,-73.745694,https://www.stm.info/fr/recherche#stq=55371,0,,1
55372,55372,Brabant-Marineau / De Baene,45.500365,-73.745480,https://www.stm.info/fr/recherche#stq=55372,0,,1
55373,55373,Transcanadienne / No 8885,45.492682,-73.739268,https://www.stm.info/fr/recherche#stq=55373,0,,1
55374,55374,Saint-François / Vanden-Abeele,45.485715,-73.740942,https://www.stm.info/fr/recherche#stq=55374,0,,1
